abc,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
b,3,3,3,1,1,2,3,4,4,4,7,7,7,8,8,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
b,4,4,4,4,2,3,5,4,4,6,6,6,6,8,8,9,8,8,8,8,8,8,8,8,7,7,7,7,6,6,7,7,6,6,6,7,7
b,3,3,3,3,2,2,4,3,3,5,6,6,6,7,6,8,8,7,7,7,7,7,7,7,7,6,6,6,7,6,8,7,7,6,6,7,7
b,3.5,3.5,3.5,2.5,1.5,2.5,4,4,4,5,6.5,6.5,6.5,8,8,9,8,8,8,8,8,8,8,8,7.5,7,7,7,6.5,6.5,7,7,6.5,6.5,6.5,7,7
b,3,3,3,2,1.5,2,3.5,3.5,3.5,4.5,6.5,6.5,6.5,7.5,7,8.5,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,6.5,6.5,6.5,7,6.5,7.5,7,7,6.5,6.5,7,7
b,3.5,3.5,3.5,3.5,2,2.5,4.5,3.5,3.5,5.5,6,6,6,7.5,7,8.5,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7,6.5,6.5,6.5,6.5,6,7.5,7,6.5,6,6,7,7
b,3.333333333,3.333333333,3.333333333,2.666666667,1.666666667,2.333333333,4,3.666666667,3.666666667,5,6.333333333,6.333333333,6.333333333,7.666666667,7.333333333,8.666666667,8,7.666666667,7.666666667,7.666666667,7.666666667,7.666666667,7.666666667,7.666666667,7.333333333,6.666666667,6.666666667,6.666666667,6.666666667,6.333333333,7.333333333,7,6.666666667,6.333333333,6.333333333,7,7
a,5,7,7,3,5,4,7,7,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,9,10
a,7,7,7,8,4,6,7,8,6,10,9,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,9,9,10
a,7,7,6,7,4,4,6,5,7,8,8,,9,10,9,10,10,10,9,9,9,10,10,10,9,10,9,10,10,9,10,9,10,10,8,9,10
a,6,7,7,5.5,4.5,5,7,7.5,6,8.5,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9.5,10,9.5,10,10,9,10,10,9,9,10
a,6,7,6.5,5,4.5,4,6.5,6,6.5,7.5,9,9,9.5,10,9.5,10,10,10,9.5,9.5,9.5,10,10,10,9.5,10,9.5,10,9.5,9.5,10,9,10,10,8.5,9,10
a,7,7,6.5,7.5,4,5,6.5,6.5,6.5,9,8.5,9,8.5,10,9.5,10,10,10,9.5,9.5,9.5,10,10,10,9.5,10,9,10,10,9.5,10,9,10,10,8.5,9,10
a,6.333333333,7,6.666666667,6,4.333333333,4.666666667,6.666666667,6.666666667,6.333333333,8.333333333,8.666666667,9.333333333,9,10,9.666666667,10,10,10,9.666666667,9.666666667,9.666666667,10,10,10,9.666666667,10,9.333333333,10,9.666666667,9.666666667,10,9,10,10,8.666666667,9,10
c,2,2,1,1,1,1,1,2,2,1,4,3,4,6,4,6,6,5,5,4,5,6,6,5,6,3,5,4,5,4,5,3,3,3,5,5,4
c,2,1,2,1,1,1,3,1,2,2,4,3,2,4,6,6,6,4,6,4,4,6,6,4,4,5,3,4,3,3,4,3,4,2,2,5,3
c,1,2,1,1,1,1,1,1,1,2,3,2,2,5,2,6,5,5,4,5,5,4,4,5,4,2,2,2,5,2,4,3,3,2,2,3,3
c,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,3,3,4,4,3,3,3,3
c,2,1.5,1.5,1,1,1,2,1.5,2,1.5,4,3,3,5,5,6,6,4.5,5.5,4,4.5,6,6,4.5,5,4,4,4,4,3.5,4.5,3,3.5,2.5,3.5,5,3.5
c,1.5,2,1,1,1,1,1,1.5,1.5,1.5,3.5,2.5,3,5.5,3,6,5.5,5,4.5,4.5,5,5,5,5,5,2.5,3.5,3,5,3,4.5,3,3,2.5,3.5,4,3.5
c,2.5,2.5,2,2,2,1.5,1.5,2,2,1,2.5,2,2.5,3,2,3,3,3.5,3.5,3,3.5,4,4,3.5,3.5,2,3,2.5,3,3.5,4,3.5,3.5,3,4,4,3.5
